title,price,availability,rating,url
A Light in the Attic,Â51.77,In stock,3,a-light-in-the-attic_1000/index.html
Tipping the Velvet,Â53.74,In stock,1,tipping-the-velvet_999/index.html
Soumission,Â50.10,In stock,1,soumission_998/index.html
Sharp Objects,Â47.82,In stock,4,sharp-objects_997/index.html
Sapiens: A Brief History of Humankind,Â54.23,In stock,5,sapiens-a-brief-history-of-humankind_996/index.html
The Requiem Red,Â22.65,In stock,1,the-requiem-red_995/index.html
The Dirty Little Secrets of Getting Your Dream Job,Â33.34,In stock,4,the-dirty-little-secrets-of-getting-your-dream-job_994/index.html
"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",Â17.93,In stock,3,the-coming-woman-a-novel-based-on-the-life-of-the-infamous-feminist-victoria-woodhull_993/index.html
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,Â22.60,In stock,4,the-boys-in-the-boat-nine-americans-and-their-epic-quest-for-gold-at-the-1936-berlin-olympics_992/index.html
The Black Maria,Â52.15,In stock,1,the-black-maria_991/index.html
"Starving Hearts (Triangular Trade Trilogy, #1)",Â13.99,In stock,2,starving-hearts-triangular-trade-trilogy-1_990/index.html
Shakespeare's Sonnets,Â20.66,In stock,4,shakespeares-sonnets_989/index.html
Set Me Free,Â17.46,In stock,5,set-me-free_988/index.html
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),Â52.29,In stock,5,scott-pilgrims-precious-little-life-scott-pilgrim-1_987/index.html
Rip it Up and Start Again,Â35.02,In stock,5,rip-it-up-and-start-again_986/index.html
"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",Â57.25,In stock,3,our-band-could-be-your-life-scenes-from-the-american-indie-underground-1981-1991_985/index.html
Olio,Â23.88,In stock,1,olio_984/index.html
Mesaerion: The Best Science Fiction Stories 1800-1849,Â37.59,In stock,1,mesaerion-the-best-science-fiction-stories-1800-1849_983/index.html
Libertarianism for Beginners,Â51.33,In stock,2,libertarianism-for-beginners_982/index.html
It's Only the Himalayas,Â45.17,In stock,2,its-only-the-himalayas_981/index.html
In Her Wake,Â12.84,In stock,1,in-her-wake_980/index.html
How Music Works,Â37.32,In stock,2,how-music-works_979/index.html
"Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More",Â30.52,In stock,3,foolproof-preserving-a-guide-to-small-batch-jams-jellies-pickles-condiments-and-more-a-foolproof-guide-to-making-small-batch-jams-jellies-pickles-condiments-and-more_978/index.html
Chase Me (Paris Nights #2),Â25.27,In stock,5,chase-me-paris-nights-2_977/index.html
Black Dust,Â34.53,In stock,5,black-dust_976/index.html
Birdsong: A Story in Pictures,Â54.64,In stock,3,birdsong-a-story-in-pictures_975/index.html
America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana,Â22.50,In stock,3,americas-cradle-of-quarterbacks-western-pennsylvanias-football-factory-from-johnny-unitas-to-joe-montana_974/index.html
Aladdin and His Wonderful Lamp,Â53.13,In stock,3,aladdin-and-his-wonderful-lamp_973/index.html
Worlds Elsewhere: Journeys Around Shakespeareâs Globe,Â40.30,In stock,5,worlds-elsewhere-journeys-around-shakespeares-globe_972/index.html
Wall and Piece,Â44.18,In stock,4,wall-and-piece_971/index.html
The Four Agreements: A Practical Guide to Personal Freedom,Â17.66,In stock,5,the-four-agreements-a-practical-guide-to-personal-freedom_970/index.html
The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,Â31.05,In stock,3,the-five-love-languages-how-to-express-heartfelt-commitment-to-your-mate_969/index.html
The Elephant Tree,Â23.82,In stock,5,the-elephant-tree_968/index.html
The Bear and the Piano,Â36.89,In stock,1,the-bear-and-the-piano_967/index.html
Sophie's World,Â15.94,In stock,5,sophies-world_966/index.html
Penny Maybe,Â33.29,In stock,3,penny-maybe_965/index.html
Maude (1883-1993):She Grew Up with the country,Â18.02,In stock,2,maude-1883-1993she-grew-up-with-the-country_964/index.html
"In a Dark, Dark Wood",Â19.63,In stock,1,in-a-dark-dark-wood_963/index.html
Behind Closed Doors,Â52.22,In stock,4,behind-closed-doors_962/index.html
You can't bury them all: Poems,Â33.63,In stock,2,you-cant-bury-them-all-poems_961/index.html
Slow States of Collapse: Poems,Â57.31,In stock,3,slow-states-of-collapse-poems_960/index.html
